Word,Meaning,Type,Audio,Sentence,Syn1,Syn2,Syn3,
aberration,a state or condition markedly different from the norm,noun,https://lex-audio.useremarkable.com/mp3/aberration_us_1.mp3,they described the outbreak of violence in the area as an aberration,0,anomaly,digression,deviance
acrimony,a rough and bitter manner,noun,https://lex-audio.useremarkable.com/mp3/acrimony_us_1.mp3,"a quagmire of lawsuits, acrimony, and finger-pointing",0,bitterness,acerbity,jaundice
amalgam,a combination or blend of diverse things,noun,https://lex-audio.useremarkable.com/mp3/amalgam_us_1.mp3,a curious amalgam of the traditional and the modern,0,dental amalgam,alloy,combination
ambiguous,having more than one possible meaning,adjective,https://lex-audio.useremarkable.com/mp3/ambiguous_us_1.mp3,ambiguous phrases,0,equivocal,cryptic,enigmatic
ambivalent,uncertain or unable to decide about what course to follow,adjective,https://lex-audio.useremarkable.com/mp3/ambivalent_us_1.mp3,"some loved her, some hated her, few were ambivalent about her",0,equivocal,uncertain,unsure
amenable,disposed or willing to comply,adjective,https://lex-audio.useremarkable.com/mp3/amenable_us_1.mp3,parents who have had easy babies and amenable children,0,conformable,tractable,responsive
amorphous,having no definite form or distinct shape,adjective,https://lex-audio.useremarkable.com/mp3/amorphous_us_1.mp3,"an amorphous, characterless conurbation",0,formless,shapeless,unstructured
anomalous,deviating from the general or common order or type,adjective,https://lex-audio.useremarkable.com/mp3/anomalous_us_1.mp3,an anomalous situation,0,abnormal,atypical,irregular
artful,marked by skill or cunning in achieving a desired end,adjective,https://lex-audio.useremarkable.com/mp3/artful_us_1.mp3,her artful wiles,0,disingenuous,sly,cunning
auspicious,indicating favorable circumstances and good luck,adjective,https://lex-audio.useremarkable.com/mp3/auspicious_us_1.mp3,it was not the most auspicious moment to hold an election,0,favourable,promising,bright
belie,represent falsely,transitive verb,https://lex-audio.useremarkable.com/mp3/belie_us_1.mp3,"his lively, alert manner belied his years",0,contradict,negate,misrepresent
betray,reveal unintentionally,transitive verb,https://lex-audio.useremarkable.com/mp3/betray_us_1.mp3,a double agent who betrayed some 400 British and French agents to the Germans,0,bewray,sell,fail
calumny,a false accusation of an offense,noun,https://lex-audio.useremarkable.com/mp3/calumny_us_1.mp3,a bitter struggle marked by calumny and litigation,0,defamation,calumniation,obloquy
castigate,inflict severe punishment on,transitive verb,https://lex-audio.useremarkable.com/mp3/castigate_us_1.mp3,he was castigated for not setting a good example,0,chastise,objurgate,chasten
censure,harsh criticism or disapproval,transitive verb,https://lex-audio.useremarkable.com/mp3/censure_us_1.mp3,a judge was censured in 1983 for a variety of types of injudicious conduct,0,reprimand,criminate,criticise
chastise,censure severely,transitive verb,https://lex-audio.useremarkable.com/mp3/chastise_us_2_rr.mp3,he chastised his colleagues for their laziness,0,castigate,objurgate,chasten
commensurate,corresponding in size or degree or extent,adjective,https://lex-audio.useremarkable.com/mp3/commensurate_us_1_rr.mp3,salary will be commensurate with experience,0,equivalent,equal,corresponding
demur,enter a formal objection to an opponent's pleadings,intransitive verb,https://lex-audio.useremarkable.com/mp3/demur_us_1.mp3,"normally she would have accepted the challenge, but she demurred",0,except,object,plead
disinterested,unaffected by concern for one's own welfare,adjective,https://lex-audio.useremarkable.com/mp3/disinterested_us_1.mp3,a banker is under an obligation to give disinterested advice,0,unbiased,unprejudiced,impartial
egregious,conspicuously and outrageously bad or reprehensible,adjective,https://lex-audio.useremarkable.com/mp3/egregious_us_1.mp3,egregious abuses of copyright,0,flagrant,glaring,gross
enervate,"weaken physically, mentally, or morally",transitive verb,https://lex-audio.useremarkable.com/mp3/enervate_us_1.mp3,the heat enervated us all,0,faze,unnerve,unsettle
equivocal,open to two or more interpretations,adjective,https://lex-audio.useremarkable.com/mp3/equivocal_us_1.mp3,the equivocal nature of her remarks,0,ambiguous,uncertain,unsure
extant,still in existence; not extinct or destroyed or lost,adjective,https://lex-audio.useremarkable.com/mp3/extant_us_2_rr.mp3,the original manuscript is no longer extant,0,surviving,remaining,abiding
frugal,avoiding waste,adjective,https://lex-audio.useremarkable.com/mp3/frugal_us_1.mp3,he led a remarkably frugal existence,0,economical,scotch,sparing
galvanize,stimulate to action,transitive verb,https://lex-audio.useremarkable.com/mp3/galvanize_us_1.mp3,the urgency of his voice galvanized them into action,0,startle,galvanise,ball over
gregarious,temperamentally seeking and enjoying the company of others,adjective,https://lex-audio.useremarkable.com/mp3/gregarious_us_1.mp3,he was a popular and gregarious man,0,affable,sociable,convivial
